period_code,period_label,period_type,geography_code,geography_label,observation,measure,unit,seasonal_adjustment
2020-01-13,2020-01-13,day,K02000001,United Kingdom,90.74,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-14,2020-01-14,day,K02000001,United Kingdom,89.55,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-15,2020-01-15,day,K02000001,United Kingdom,89.34,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-16,2020-01-16,day,K02000001,United Kingdom,89.52,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-17,2020-01-17,day,K02000001,United Kingdom,89.6,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-20,2020-01-20,day,K02000001,United Kingdom,90.96,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-21,2020-01-21,day,K02000001,United Kingdom,91.27,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-22,2020-01-22,day,K02000001,United Kingdom,91.71,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-23,2020-01-23,day,K02000001,United Kingdom,91.62,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-24,2020-01-24,day,K02000001,United Kingdom,91.31,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-27,2020-01-27,day,K02000001,United Kingdom,94.28,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-28,2020-01-28,day,K02000001,United Kingdom,94.53,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-29,2020-01-29,day,K02000001,United Kingdom,95.2,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-30,2020-01-30,day,K02000001,United Kingdom,94.88,Aggregate UK spending on credit and debit cards,number,NSA
2020-01-31,2020-01-31,day,K02000001,United Kingdom,96.8,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-03,2020-02-03,day,K02000001,United Kingdom,98.09,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-04,2020-02-04,day,K02000001,United Kingdom,98.44,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-05,2020-02-05,day,K02000001,United Kingdom,98.25,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-06,2020-02-06,day,K02000001,United Kingdom,98.61,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-07,2020-02-07,day,K02000001,United Kingdom,98.17,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-10,2020-02-10,day,K02000001,United Kingdom,93.67,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-11,2020-02-11,day,K02000001,United Kingdom,93.27,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-12,2020-02-12,day,K02000001,United Kingdom,93.04,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-13,2020-02-13,day,K02000001,United Kingdom,93.96,Aggregate UK spending on credit and debit cards,number,NSA
2020-02-14,2020-02-14,day,K02000001,United Kingdom,94.54,Aggregate UK spending on credit and debit cards,number,NSA
