Date,Aggregate,Delayable,Social,Staple,Work Related
13 Jan 2020,90.74,114.99,88.19,79.83,68.42
14 Jan 2020,89.55,111.77,88.84,78.57,67.93
15 Jan 2020,89.34,110.65,90.23,77.61,68.56
16 Jan 2020,89.52,109.15,91.72,77.95,69.15
17 Jan 2020,89.60,107.71,92.87,78.19,69.89
20 Jan 2020,90.96,108.56,94.70,79.33,72.27
21 Jan 2020,91.27,108.31,95.29,79.79,72.80
22 Jan 2020,91.71,109.04,95.24,80.40,73.22
23 Jan 2020,91.62,109.10,95.03,80.18,73.66
24 Jan 2020,91.31,109.51,93.24,80.33,73.81
27 Jan 2020,94.28,115.89,96.10,81.44,74.24
28 Jan 2020,94.53,116.00,95.62,82.40,74.31
29 Jan 2020,95.20,117.04,95.77,83.40,74.15
30 Jan 2020,94.88,117.05,94.21,83.68,74.24
31 Jan 2020,96.80,119.10,98.12,84.35,74.61
3 Feb 2020,98.09,119.72,98.60,86.81,75.67
4 Feb 2020,98.44,120.83,99.38,86.29,75.96
5 Feb 2020,98.25,120.57,99.53,85.86,75.90
6 Feb 2020,98.61,119.90,101.50,85.87,75.77
7 Feb 2020,98.17,120.55,99.83,85.40,75.88
10 Feb 2020,93.67,114.14,96.00,81.05,74.69
11 Feb 2020,93.27,113.91,95.78,80.65,73.16
12 Feb 2020,93.04,113.24,95.66,80.53,73.46
13 Feb 2020,93.96,115.78,95.68,81.03,73.90
14 Feb 2020,94.54,115.72,95.48,82.87,73.83
17 Feb 2020,94.25,112.20,94.95,85.11,73.90
18 Feb 2020,96.44,114.22,100.11,85.46,74.73
19 Feb 2020,97.35,116.55,101.73,85.02,74.58
20 Feb 2020,97.45,116.49,103.46,84.04,74.48
21 Feb 2020,97.46,117.32,105.49,81.94,74.23
24 Feb 2020,99.24,122.55,107.83,80.96,74.90
25 Feb 2020,96.89,119.38,102.26,80.95,75.66
26 Feb 2020,95.91,117.32,99.56,81.76,76.09
27 Feb 2020,95.28,117.18,97.20,81.79,76.72
28 Feb 2020,95.21,116.51,95.22,83.41,77.57
2 Mar 2020,100.02,123.30,97.35,89.04,81.34
3 Mar 2020,101.12,125.63,97.75,89.68,82.83
4 Mar 2020,102.16,126.58,98.33,91.27,83.38
5 Mar 2020,103.01,128.36,98.02,92.52,83.33
6 Mar 2020,103.41,129.65,98.13,92.66,82.97
9 Mar 2020,100.68,126.75,95.04,90.25,80.56
10 Mar 2020,100.22,126.00,93.90,90.71,79.28
11 Mar 2020,99.76,125.80,93.80,89.83,78.64
12 Mar 2020,99.28,124.45,93.30,90.04,78.17
13 Mar 2020,98.89,124.45,90.38,91.35,77.51
16 Mar 2020,96.83,121.27,80.16,96.44,75.36
17 Mar 2020,96.64,121.10,75.94,99.51,74.36
18 Mar 2020,96.46,120.28,71.87,102.94,73.69
