Month,Aggregate,Delayable,Social,Staple,Work Related
Jan 2020,102.24,134.35,100.74,85.18,86.39
Feb 2020,100.80,131.54,101.01,84.30,83.43
Mar 2020,89.85,123.88,64.42,87.31,74.16
Apr 2020,53.24,63.98,22.53,74.52,29.86
May 2020,60.78,72.73,25.20,83.68,36.11
Jun 2020,73.51,97.52,41.26,86.86,47.43
Jul 2020,81.40,110.76,49.54,87.71,54.24
Aug 2020,86.17,115.59,59.14,89.89,66.10
Sep 2020,88.07,117.72,63.92,90.17,62.79
Oct 2020,86.18,116.16,57.89,89.86,61.38
Nov 2020,75.22,82.32,56.61,90.79,51.32
Dec 2020,82.94,103.99,61.44,88.29,60.26
Jan 2021,72.73,80.28,52.03,88.61,55.85
Feb 2021,74.56,77.75,58.15,91.69,55.29
Mar 2021,79.10,85.42,65.70,92.68,61.40
Apr 2021,90.30,111.92,68.19,92.01,72.04
May 2021,93.74,114.90,79.74,91.75,75.79
Jun 2021,91.15,104.27,81.21,91.29,82.70
Jul 2021,92.05,105.42,81.90,90.55,79.52
Aug 2021,93.78,105.34,90.39,90.37,84.11
Sep 2021,93.70,105.10,89.37,90.50,86.07
Oct 2021,95.31,107.61,92.16,91.03,82.10
Nov 2021,95.18,105.92,94.80,90.66,86.69
Dec 2021,94.30,102.71,92.58,89.96,89.01
Jan 2022,93.60,103.41,91.23,89.78,91.49
Feb 2022,96.95,107.39,99.70,89.96,94.67
Mar 2022,99.36,113.98,98.71,90.29,96.75
Apr 2022,100.00,108.95,103.72,91.27,98.43
May 2022,99.52,103.19,104.19,92.68,98.87
Jun 2022,97.15,98.75,99.30,93.84,98.08
Jul 2022,98.87,100.46,96.38,95.85,103.94
Aug 2022,95.52,94.42,94.55,95.48,100.98
Sep 2022,95.50,97.22,94.19,95.37,96.57
Oct 2022,97.81,99.39,97.35,96.09,100.27
Nov 2022,97.22,97.73,98.82,95.48,101.58
Dec 2022,99.71,102.71,98.14,97.08,101.69
Jan 2023,101.99,106.43,102.77,98.81,103.59
Feb 2023,101.51,105.70,102.98,99.26,104.31
Mar 2023,101.33,102.79,102.36,100.76,103.92
Apr 2023,101.76,99.42,103.24,101.42,101.13
May 2023,101.52,99.27,101.42,102.72,100.28
Jun 2023,101.47,101.18,102.58,100.40,99.27
Jul 2023,99.80,99.61,102.02,97.35,93.70
Aug 2023,98.69,100.23,97.29,98.68,94.11
Sep 2023,98.05,96.23,98.75,99.49,96.39
Oct 2023,96.80,93.14,96.11,99.39,101.27
Nov 2023,97.93,97.19,94.87,100.80,101.30
Dec 2023,99.15,98.81,95.61,100.92,100.73
Jan 2024,99.26,98.98,[x],99.49,[x]
Feb 2024,98.80,96.83,[x],99.89,[x]
Mar 2024,99.01,99.23,[x],96.54,[x]
Apr 2024,96.33,95.68,[x],95.41,[x]
