Month,Aggregate,Delayable,Social,Staple,Work Related
Jan 2020,92.09,112.26,93.68,80.50,72.08
Feb 2020,96.28,117.20,99.26,83.34,75.05
Mar 2020,87.38,107.14,68.43,91.35,69.68
Apr 2020,52.48,59.10,20.97,77.67,27.68
May 2020,62.10,73.91,28.85,84.99,36.16
Jun 2020,73.87,96.80,41.73,87.26,49.28
Jul 2020,80.85,109.38,52.79,85.69,61.31
Aug 2020,84.76,114.81,60.26,84.72,69.33
Sep 2020,87.29,117.60,65.01,85.36,71.80
Oct 2020,86.81,120.57,61.25,86.16,65.70
Nov 2020,80.86,101.14,54.98,91.45,56.09
Dec 2020,96.83,143.83,55.76,102.01,59.58
Jan 2021,62.63,58.49,45.13,83.93,42.76
Feb 2021,69.98,63.14,56.26,90.85,48.30
Mar 2021,76.81,68.97,64.83,96.61,57.19
Apr 2021,89.46,106.57,71.39,95.20,69.88
May 2021,95.03,115.86,83.27,93.08,75.57
Jun 2021,91.63,103.87,81.98,91.74,83.76
Jul 2021,91.58,104.29,85.19,88.55,84.84
Aug 2021,92.34,104.97,91.33,85.13,86.04
Sep 2021,92.91,104.70,90.50,85.68,93.93
Oct 2021,95.79,111.20,95.19,87.29,84.88
Nov 2021,100.82,124.83,93.10,91.33,89.93
Dec 2021,108.39,142.86,87.12,103.77,87.89
Jan 2022,83.54,82.23,84.52,85.08,78.01
Feb 2022,92.31,92.49,97.43,89.30,87.88
Mar 2022,97.39,98.49,102.21,94.05,92.37
Apr 2022,98.91,102.55,102.34,94.44,95.11
May 2022,100.69,103.57,107.55,93.98,97.59
Jun 2022,97.76,98.76,100.58,94.33,99.89
Jul 2022,98.50,99.75,99.76,93.88,109.89
Aug 2022,94.04,94.68,95.43,90.21,103.61
Sep 2022,94.69,96.43,95.45,90.55,104.12
Oct 2022,98.04,101.76,99.94,92.34,104.09
Nov 2022,102.81,116.59,97.11,96.13,105.81
Dec 2022,114.05,143.30,93.12,111.01,102.13
Jan 2023,91.86,85.86,95.37,94.13,89.96
Feb 2023,96.77,90.47,100.22,98.82,96.87
Mar 2023,99.85,88.33,105.37,104.28,99.77
Apr 2023,100.31,92.02,103.16,104.56,99.37
May 2023,102.78,98.95,105.65,104.06,100.25
Jun 2023,102.31,101.57,104.83,100.99,102.04
Jul 2023,99.85,99.92,105.24,95.51,100.45
Aug 2023,96.91,100.86,97.79,93.27,96.93
Sep 2023,96.87,94.89,99.68,94.60,103.49
Oct 2023,96.85,94.35,98.28,95.64,105.18
Nov 2023,103.28,115.66,93.43,101.37,104.06
Dec 2023,113.73,139.78,90.57,114.99,101.13
Jan 2024,89.28,79.15,[x],94.85,[x]
Feb 2024,94.05,81.45,[x],99.62,[x]
Mar 2024,97.88,85.67,[x],104.33,[x]
Apr 2024,94.49,87.29,[x],94.08,[x]
