Date,Aggregate,Delayable,Social,Staple,Work Related
16 Jan 2020,102.68,133.95,99.52,83.56,81.77
23 Jan 2020,103.62,135.13,102.86,84.95,86.11
30 Jan 2020,104.28,138.36,100.83,85.36,86.84
6 Feb 2020,102.65,135.89,104.61,83.65,85.38
13 Feb 2020,101.73,134.90,101.52,83.13,86.41
20 Feb 2020,103.51,135.40,109.13,84.00,86.70
27 Feb 2020,102.71,136.84,102.66,84.05,88.42
5 Mar 2020,102.75,139.28,100.62,84.78,89.71
12 Mar 2020,101.93,137.57,97.13,85.51,87.58
19 Mar 2020,94.86,134.63,72.61,93.86,81.22
26 Mar 2020,69.13,97.02,36.97,82.67,62.43
2 Apr 2020,57.77,73.98,24.33,75.82,32.37
9 Apr 2020,60.38,75.64,25.77,78.63,34.22
16 Apr 2020,57.94,69.93,26.72,77.55,33.56
23 Apr 2020,59.63,68.46,28.25,81.83,33.98
30 Apr 2020,59.24,71.88,26.58,82.87,32.93
7 May 2020,62.16,71.67,26.59,83.62,35.63
14 May 2020,63.59,78.90,29.27,83.13,34.53
21 May 2020,65.97,82.16,31.26,85.30,36.31
28 May 2020,68.03,84.95,33.62,85.36,37.82
4 Jun 2020,68.08,85.50,32.70,85.17,39.95
11 Jun 2020,71.77,94.42,36.20,85.00,38.55
18 Jun 2020,74.07,98.80,38.39,86.10,41.14
25 Jun 2020,76.14,105.13,37.44,86.84,43.23
2 Jul 2020,79.54,108.98,44.19,89.62,46.30
9 Jul 2020,78.55,107.48,45.30,87.18,48.45
16 Jul 2020,79.11,104.69,48.61,87.54,52.73
23 Jul 2020,76.35,100.50,43.49,85.64,55.35
30 Jul 2020,80.88,105.49,51.07,88.50,55.58
6 Aug 2020,80.55,106.26,49.96,88.96,58.81
13 Aug 2020,81.68,106.78,52.13,88.95,61.76
20 Aug 2020,83.50,112.61,54.74,88.67,59.24
27 Aug 2020,84.80,113.81,54.88,89.22,61.56
3 Sep 2020,86.46,117.24,59.76,89.84,61.88
10 Sep 2020,83.60,109.04,57.76,88.98,62.19
17 Sep 2020,83.54,109.07,58.90,89.14,64.19
24 Sep 2020,82.92,110.08,57.71,88.58,60.79
1 Oct 2020,82.67,110.67,56.46,90.27,56.66
8 Oct 2020,83.22,112.42,57.60,87.94,59.57
15 Oct 2020,83.15,111.81,56.53,89.55,61.59
22 Oct 2020,83.10,109.12,58.00,89.66,60.93
29 Oct 2020,84.37,110.97,59.82,89.69,61.01
5 Nov 2020,89.02,125.03,60.12,92.91,62.20
12 Nov 2020,70.75,71.44,50.34,88.56,50.45
19 Nov 2020,72.46,74.81,52.69,89.11,50.02
26 Nov 2020,73.51,76.08,53.65,89.60,53.57
3 Dec 2020,76.76,88.68,55.52,90.56,53.93
10 Dec 2020,85.32,116.39,61.87,89.46,64.63
17 Dec 2020,83.86,111.98,63.99,87.80,65.69
24 Dec 2020,85.66,100.35,61.66,98.22,66.04
31 Dec 2020,72.16,83.55,56.42,82.32,67.94
7 Jan 2021,79.66,86.84,51.33,89.23,67.39
14 Jan 2021,75.68,82.32,51.51,90.60,53.39
