period_code,period_label,period_type,geography_code,geography_label,observation,measure,unit
2019-02-01,2019-02-01,day,K02000001,United Kingdom,"5,147",Number of flights,number
2019-03-01,2019-03-01,day,K02000001,United Kingdom,"5,518",Number of flights,number
2019-04-01,2019-04-01,day,K02000001,United Kingdom,"5,588",Number of flights,number
2019-05-01,2019-05-01,day,K02000001,United Kingdom,"4,798",Number of flights,number
2019-06-01,2019-06-01,day,K02000001,United Kingdom,"5,329",Number of flights,number
2019-07-01,2019-07-01,day,K02000001,United Kingdom,"5,288",Number of flights,number
2019-08-01,2019-08-01,day,K02000001,United Kingdom,"4,670",Number of flights,number
2019-09-01,2019-09-01,day,K02000001,United Kingdom,"4,702",Number of flights,number
2019-10-01,2019-10-01,day,K02000001,United Kingdom,"5,056",Number of flights,number
2019-11-01,2019-11-01,day,K02000001,United Kingdom,"5,330",Number of flights,number
2019-12-01,2019-12-01,day,K02000001,United Kingdom,"4,227",Number of flights,number
2019-13-01,2019-13-01,day,K02000001,United Kingdom,"4,848",Number of flights,number
2019-14-01,2019-14-01,day,K02000001,United Kingdom,"5,147",Number of flights,number
2019-15-01,2019-15-01,day,K02000001,United Kingdom,"4,596",Number of flights,number
2019-16-01,2019-16-01,day,K02000001,United Kingdom,"4,625",Number of flights,number
2019-17-01,2019-17-01,day,K02000001,United Kingdom,"5,068",Number of flights,number
2019-18-01,2019-18-01,day,K02000001,United Kingdom,"5,426",Number of flights,number
2019-19-01,2019-19-01,day,K02000001,United Kingdom,"4,172",Number of flights,number
2019-20-01,2019-20-01,day,K02000001,United Kingdom,"4,929",Number of flights,number
2019-21-01,2019-21-01,day,K02000001,United Kingdom,"5,167",Number of flights,number
2019-22-01,2019-22-01,day,K02000001,United Kingdom,"4,550",Number of flights,number
2019-23-01,2019-23-01,day,K02000001,United Kingdom,"4,611",Number of flights,number
2019-24-01,2019-24-01,day,K02000001,United Kingdom,"5,089",Number of flights,number
2019-25-01,2019-25-01,day,K02000001,United Kingdom,"5,444",Number of flights,number
2019-26-01,2019-26-01,day,K02000001,United Kingdom,"4,215",Number of flights,number
2019-27-01,2019-27-01,day,K02000001,United Kingdom,"4,899",Number of flights,number
2019-28-01,2019-28-01,day,K02000001,United Kingdom,"5,252",Number of flights,number
2019-29-01,2019-29-01,day,K02000001,United Kingdom,"4,638",Number of flights,number
2019-30-01,2019-30-01,day,K02000001,United Kingdom,"4,686",Number of flights,number
2019-31-01,2019-31-01,day,K02000001,United Kingdom,"5,026",Number of flights,number
2019-01-02,2019-01-02,day,K02000001,United Kingdom,"5,182",Number of flights,number
2019-02-02,2019-02-02,day,K02000001,United Kingdom,"4,362",Number of flights,number
2019-03-02,2019-03-02,day,K02000001,United Kingdom,"5,044",Number of flights,number
