Date,Number of flights,Seven-day average,Notes
2 Jan 2019,"5,147",[x],
3 Jan 2019,"5,518",[x],
4 Jan 2019,"5,588",[x],
5 Jan 2019,"4,798",[x],
6 Jan 2019,"5,329",[x],
7 Jan 2019,"5,288",[x],
8 Jan 2019,"4,670","5,191",
9 Jan 2019,"4,702","5,128",
10 Jan 2019,"5,056","5,062",
11 Jan 2019,"5,330","5,025",
12 Jan 2019,"4,227","4,943",
13 Jan 2019,"4,848","4,874",
14 Jan 2019,"5,147","4,854",
15 Jan 2019,"4,596","4,844",
16 Jan 2019,"4,625","4,833",
17 Jan 2019,"5,068","4,834",
18 Jan 2019,"5,426","4,848",
19 Jan 2019,"4,172","4,840",
20 Jan 2019,"4,929","4,852",
21 Jan 2019,"5,167","4,855",
22 Jan 2019,"4,550","4,848",
23 Jan 2019,"4,611","4,846",
24 Jan 2019,"5,089","4,849",
25 Jan 2019,"5,444","4,852",
26 Jan 2019,"4,215","4,858",
27 Jan 2019,"4,899","4,854",
28 Jan 2019,"5,252","4,866",
29 Jan 2019,"4,638","4,878",
30 Jan 2019,"4,686","4,889",
31 Jan 2019,"5,026","4,880",
1 Feb 2019,"5,182","4,843",
2 Feb 2019,"4,362","4,864",
3 Feb 2019,"5,044","4,884",
4 Feb 2019,"5,262","4,886",
5 Feb 2019,"4,767","4,904",
6 Feb 2019,"4,867","4,930",
7 Feb 2019,"5,363","4,978",
8 Feb 2019,"5,508","5,025",
9 Feb 2019,"4,499","5,044",
10 Feb 2019,"5,098","5,052",
11 Feb 2019,"5,475","5,082",
12 Feb 2019,"5,046","5,122",
13 Feb 2019,"5,035","5,146",
14 Feb 2019,"5,548","5,173",
15 Feb 2019,"5,961","5,237",
16 Feb 2019,"5,054","5,317",
17 Feb 2019,"5,290","5,344",
18 Feb 2019,"5,529","5,352",
19 Feb 2019,"5,154","5,367",
20 Feb 2019,"5,026","5,366",
21 Feb 2019,"5,527","5,363",
22 Feb 2019,"5,611","5,313",
23 Feb 2019,"4,981","5,303",
24 Feb 2019,"5,692","5,360",
25 Feb 2019,"5,621","5,373",
26 Feb 2019,"5,200","5,380",
27 Feb 2019,"5,122","5,393",
28 Feb 2019,"5,569","5,399",
1 Mar 2019,"5,818","5,429",
2 Mar 2019,"4,657","5,383",
3 Mar 2019,"5,144","5,304",
4 Mar 2019,"5,590","5,300",
5 Mar 2019,"5,140","5,291",
6 Mar 2019,"5,112","5,290",
7 Mar 2019,"5,581","5,292",
8 Mar 2019,"5,833","5,294",
9 Mar 2019,"4,621","5,289",
10 Mar 2019,"5,184","5,294",
11 Mar 2019,"5,693","5,309",
12 Mar 2019,"5,089","5,302",
13 Mar 2019,"5,076","5,297",
14 Mar 2019,"5,583","5,297",
15 Mar 2019,"5,883","5,304",
16 Mar 2019,"4,673","5,312",
