period_code,period_label,period_type,geography_code,geography_label,observation,measure,unit
2018-01-01,2018-01-01,day,K03000001,Great Britain,1.708,SAP actual day,p/kWh
2018-01-02,2018-01-02,day,K03000001,Great Britain,1.733,SAP actual day,p/kWh
2018-01-03,2018-01-03,day,K03000001,Great Britain,1.766,SAP actual day,p/kWh
2018-01-04,2018-01-04,day,K03000001,Great Britain,1.772,SAP actual day,p/kWh
2018-01-05,2018-01-05,day,K03000001,Great Britain,1.76,SAP actual day,p/kWh
2018-01-06,2018-01-06,day,K03000001,Great Britain,1.719,SAP actual day,p/kWh
2018-01-07,2018-01-07,day,K03000001,Great Britain,1.817,SAP actual day,p/kWh
2018-01-08,2018-01-08,day,K03000001,Great Britain,1.799,SAP actual day,p/kWh
2018-01-09,2018-01-09,day,K03000001,Great Britain,1.773,SAP actual day,p/kWh
2018-01-10,2018-01-10,day,K03000001,Great Britain,1.786,SAP actual day,p/kWh
2018-01-11,2018-01-11,day,K03000001,Great Britain,1.833,SAP actual day,p/kWh
2018-01-12,2018-01-12,day,K03000001,Great Britain,1.778,SAP actual day,p/kWh
2018-01-13,2018-01-13,day,K03000001,Great Britain,1.78,SAP actual day,p/kWh
2018-01-14,2018-01-14,day,K03000001,Great Britain,1.777,SAP actual day,p/kWh
2018-01-15,2018-01-15,day,K03000001,Great Britain,1.733,SAP actual day,p/kWh
2018-01-16,2018-01-16,day,K03000001,Great Britain,1.73,SAP actual day,p/kWh
2018-01-17,2018-01-17,day,K03000001,Great Britain,1.718,SAP actual day,p/kWh
2018-01-18,2018-01-18,day,K03000001,Great Britain,1.703,SAP actual day,p/kWh
2018-01-19,2018-01-19,day,K03000001,Great Britain,1.716,SAP actual day,p/kWh
2018-01-20,2018-01-20,day,K03000001,Great Britain,1.72,SAP actual day,p/kWh
2018-01-21,2018-01-21,day,K03000001,Great Britain,1.7,SAP actual day,p/kWh
2018-01-22,2018-01-22,day,K03000001,Great Britain,1.685,SAP actual day,p/kWh
2018-01-23,2018-01-23,day,K03000001,Great Britain,1.653,SAP actual day,p/kWh
2018-01-24,2018-01-24,day,K03000001,Great Britain,1.624,SAP actual day,p/kWh
2018-01-25,2018-01-25,day,K03000001,Great Britain,1.653,SAP actual day,p/kWh
2018-01-26,2018-01-26,day,K03000001,Great Britain,1.615,SAP actual day,p/kWh
2018-01-27,2018-01-27,day,K03000001,Great Britain,1.622,SAP actual day,p/kWh
2018-01-28,2018-01-28,day,K03000001,Great Britain,1.555,SAP actual day,p/kWh
2018-01-29,2018-01-29,day,K03000001,Great Britain,1.589,SAP actual day,p/kWh
