Date,"SAP actual day
(p/kWh)","SAP preceding seven-day rolling average
(p/kWh)"
1 Jan 2018,1.708,1.847
2 Jan 2018,1.733,1.832
3 Jan 2018,1.766,1.802
4 Jan 2018,1.772,1.784
5 Jan 2018,1.760,1.761
6 Jan 2018,1.719,1.755
7 Jan 2018,1.817,1.742
8 Jan 2018,1.799,1.754
9 Jan 2018,1.773,1.767
10 Jan 2018,1.786,1.772
11 Jan 2018,1.833,1.775
12 Jan 2018,1.778,1.784
13 Jan 2018,1.780,1.787
14 Jan 2018,1.777,1.795
15 Jan 2018,1.733,1.790
16 Jan 2018,1.730,1.780
17 Jan 2018,1.718,1.774
18 Jan 2018,1.703,1.764
19 Jan 2018,1.716,1.746
20 Jan 2018,1.720,1.737
21 Jan 2018,1.700,1.728
22 Jan 2018,1.685,1.717
23 Jan 2018,1.653,1.710
24 Jan 2018,1.624,1.699
25 Jan 2018,1.653,1.686
26 Jan 2018,1.615,1.679
27 Jan 2018,1.622,1.664
28 Jan 2018,1.555,1.650
29 Jan 2018,1.589,1.630
30 Jan 2018,1.630,1.616
31 Jan 2018,1.612,1.613
1 Feb 2018,1.695,1.611
2 Feb 2018,1.764,1.617
3 Feb 2018,1.662,1.638
4 Feb 2018,1.680,1.644
5 Feb 2018,1.693,1.662
6 Feb 2018,1.710,1.676
7 Feb 2018,1.767,1.688
8 Feb 2018,1.744,1.710
9 Feb 2018,1.728,1.717
10 Feb 2018,1.743,1.712
11 Feb 2018,1.712,1.724
12 Feb 2018,1.725,1.728
13 Feb 2018,1.797,1.733
14 Feb 2018,1.727,1.745
15 Feb 2018,1.648,1.739
16 Feb 2018,1.731,1.726
17 Feb 2018,1.712,1.726
18 Feb 2018,1.707,1.722
19 Feb 2018,1.888,1.721
20 Feb 2018,1.877,1.744
21 Feb 2018,1.941,1.755
22 Feb 2018,2.074,1.786
23 Feb 2018,2.078,1.847
24 Feb 2018,1.870,1.897
25 Feb 2018,1.895,1.919
26 Feb 2018,2.417,1.946
